znacka	stare	1945	1946	1947	1948	1949	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
MICRO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	56	309	395	359	384	84	2	1	1	0	3	0	2	2	2	4	0
MINI	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	1	1	0	0	1	3	1	0	2	0	2	6	4	2	3	60	385	353	301	246	194	241	222	171	127	175	198	255	173
MITSUBISHI	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	75	93	38	44	110	275	400	474	562	652	553	683	706	783	664	932	1236	1881	1905	1788	1497	1081	1196	1249	855	894	1016	1197	1438	1394	1322	1728	1129	1035	805
MOSKVIČ	20	0	0	0	1	0	0	2	0	0	2	0	0	8	5	135	157	150	226	246	286	59	35	256	455	559	655	777	838	731	914	770	492	981	1197	1223	450	12	0	4	0	1	0	2	4	106	411	11	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NISSAN	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	4	0	10	25	36	46	43	100	314	431	516	492	521	691	1268	1256	1072	1118	1626	2482	3782	3490	3681	3406	2775	3332	3386	2984	2319	1796	1913	2015	2062	1874	1456	1347	1629	1114
OLTCIT	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	2	708	1683	1422	688	30	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OPEL	218	1	0	1	0	2	6	4	4	3	5	10	16	13	18	20	25	42	45	88	137	90	65	50	39	41	47	49	60	55	36	50	64	139	226	303	291	291	214	164	229	1005	1462	1773	1852	1760	2377	2840	3849	3953	5104	10415	16207	18191	18436	22496	17254	12195	9028	10468	8441	7215	6221	6388	5313	4316	3868	4659	3865	4158	3575
PEUGEOT	32	0	0	0	0	1	1	0	0	0	0	1	0	0	2	1	2	4	3	9	4	6	7	8	8	16	10	15	24	16	13	22	12	20	36	56	74	69	49	85	261	1409	2288	2124	2254	2182	3699	4839	5081	5784	6009	7922	11954	16343	17557	20672	20226	17538	17676	18969	15602	13941	11801	11393	10196	8347	8302	7468	5907	6536	4099
POLARIS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	6	8	36	117	126	111	124	139	147	125	79
PORSCHE	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2	1	2	1	1	1	1	4	4	5	9	4	5	1	13	20	20	13	12	10	20	16	38	77	58	41	27	30	37	32	44	17	15	29	41	65	72	89	98	113	94	113	142	176	201	210	238	272	405	421	489	306	150
RENAULT	34	0	0	0	0	0	0	0	3	0	1	54	85	112	76	71	142	93	33	148	237	152	123	153	262	221	218	309	90	98	154	261	155	226	154	125	233	323	264	354	447	837	1216	1313	1175	2027	2545	4542	4692	4010	4538	6859	14468	19487	22847	26328	22750	19710	19447	17595	14674	14959	11741	9785	10350	11102	12043	12128	10265	5319	3101
ROVER	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	2	0	0	3	2	1	2	1	1	2	3	7	7	8	14	20	30	34	75	56	151	488	924	921	702	416	244	154	122	121	63	13	5	9	1	5	2	3	0	0
SAAB	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	3	9	18	16	47	78	68	34	32	4	32	23	6	7	6	6	9	6	3	2	15	39	46	72	58	66	50	59	62	70	109	192	229	252	357	316	384	326	344	309	242	190	178	170	199	83	68	43	8	7	1
SEAT	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	3	0	1	0	0	0	0	0	3	25	91	102	160	184	145	281	518	867	1030	1780	3943	4742	6451	4584	6416	6132	4851	4489	4583	4230	3454	2946	2862	2848	2405	1959	2407	1289	1437	1266
SIMCA	16	0	0	0	0	0	0	0	0	1	2	2	2	81	81	32	48	41	57	85	24	105	153	259	260	332	94	68	97	152	107	45	94	158	122	74	26	15	9	6	4	2	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
